Match,Result,totalGold,goldDiff,totalKills,totalDeaths,totalAssists,KD_rat,indGold,indKills,indDeaths,indAssists
B0,1,62729,6057,16,9,54,7,"[12526, 11224, 15177, 15048, 8754]","[2, 1, 8, 5, 0]","[3, 5, 0, 0, 1]","[8, 13, 8, 10, 15]"
R0,0,56672,-6057,9,16,28,-7,"[11952, 11193, 10896, 15256, 7375]","[1, 1, 1, 6, 0]","[4, 2, 4, 1, 5]","[7, 6, 5, 3, 7]"
B1,0,57702,1165,10,9,23,1,"[12352, 10670, 13546, 13129, 8005]","[3, 1, 4, 2, 0]","[0, 2, 3, 1, 3]","[3, 7, 1, 5, 7]"
R1,1,56537,-1165,9,10,23,-1,"[11866, 8988, 13641, 13809, 8233]","[1, 0, 4, 3, 1]","[1, 3, 1, 3, 2]","[6, 4, 4, 3, 6]"
B2,1,70270,13915,22,8,52,14,"[14458, 11057, 15507, 18705, 10543]","[3, 1, 7, 9, 2]","[0, 3, 0, 2, 3]","[10, 13, 6, 10, 13]"
R2,0,56355,-13915,8,22,18,-14,"[11806, 10620, 12749, 13823, 7357]","[2, 1, 3, 2, 0]","[2, 5, 7, 3, 5]","[4, 4, 2, 2, 6]"
B3,0,58612,-4507,10,21,25,-11,"[12806, 11147, 12835, 14478, 7346]","[4, 1, 4, 1, 0]","[3, 6, 5, 2, 5]","[3, 8, 3, 7, 4]"
R3,1,63119,4507,21,10,61,11,"[11950, 11946, 14140, 15644, 9439]","[7, 3, 5, 6, 0]","[3, 1, 5, 1, 0]","[6, 16, 12, 11, 16]"
B4,1,60269,11322,22,10,65,12,"[11498, 11089, 13803, 14798, 9081]","[2, 3, 9, 7, 1]","[2, 2, 3, 3, 0]","[14, 15, 10, 6, 20]"
R4,0,48947,-11322,10,22,27,-12,"[11734, 9778, 10441, 10711, 6283]","[5, 2, 0, 3, 0]","[4, 4, 5, 3, 6]","[3, 5, 9, 5, 5]"
B5,0,31022,-7052,4,8,7,-4,"[6158, 6153, 7141, 6929, 4641]","[0, 1, 2, 0, 1]","[0, 3, 0, 2, 3]","[1, 1, 1, 2, 2]"
R5,1,38074,7052,8,4,23,4,"[8407, 7297, 8412, 8352, 5606]","[2, 1, 1, 4, 0]","[0, 1, 1, 0, 2]","[3, 7, 3, 2, 8]"
B6,1,68888,14093,25,7,70,18,"[16477, 12764, 14326, 15437, 9884]","[10, 4, 3, 6, 2]","[1, 3, 1, 1, 1]","[10, 19, 13, 11, 17]"
R6,0,54795,-14093,7,25,14,-18,"[10378, 9089, 12067, 15679, 7582]","[0, 0, 1, 6, 0]","[6, 7, 5, 2, 5]","[1, 5, 2, 0, 6]"
B7,1,77050,15396,27,12,63,15,"[14180, 14653, 17440, 19056, 11721]","[3, 5, 7, 9, 3]","[2, 2, 4, 1, 3]","[9, 17, 13, 12, 12]"
R7,0,61654,-15396,12,27,32,-15,"[12370, 10706, 11767, 18093, 8718]","[4, 1, 2, 4, 1]","[4, 7, 6, 3, 7]","[6, 5, 6, 8, 7]"
B8,0,59589,-10914,8,22,24,-14,"[12341, 10976, 12636, 15200, 8436]","[3, 0, 0, 5, 0]","[3, 5, 8, 3, 3]","[2, 4, 7, 3, 8]"
R8,1,70503,10914,22,8,54,14,"[13528, 12964, 15579, 17008, 11424]","[4, 2, 7, 5, 4]","[1, 4, 2, 0, 1]","[9, 11, 10, 11, 13]"
B9,1,57686,10867,16,9,36,7,"[12282, 10702, 14112, 11726, 8864]","[4, 1, 9, 2, 0]","[2, 3, 2, 1, 1]","[6, 8, 3, 6, 13]"
